id,name,ostan,shahrestan
1,آب پخش,7,179
2,آباده طشک,17,417
3,آبدان,7,190
4,آبژدان,13,45
5,آبش احمد,1,333
6,آبگرم,18,15
7,آرمرده,20,61
8,آسارا,5,326
9,آسفیج,31,90
10,آسمینون,21,389
11,آشار,16,395
12,آفتاب,8,122
13,آهوران,16,420
14,آیسک,10,232
15,ابولفارس,13,197
16,احمد آباد مستوفی,8,33
17,احمدآباد,11,383
18,احمدی,29,145
19,احمدسرگوراب,25,264
20,ارجمند,8,305
21,ارد,17,349
22,ارژن,17,273
23,ارس,2,107
24,ارسک,10,74
25,ارشق,3,382
26,ارم,7,179
27,ارمند,9,149
28,اروندکنار,13,1
29,ازگله,22,124
30,اسالم,25,281
31,اسفرورین,18,110
32,اسلام آباد,3,100
33,اسلامیه,10,293
34,اسماعیلی,21,134
35,اسماعیلیه,13,48
36,اسیر,17,393
37,اشترینان,26,69
38,اشکنان,17,363
39,اطاقور,25,368
40,افزر,17,319
41,افشار,14,151
42,الوارگرمسیری,13,46
43,امام,20,242
44,امام حسن,7,191
45,امام زاده,4,408
46,امامزاده عبدالله,27,14
47,امیراباد,15,172
48,انابد,11,67
49,انار,21,44
50,انارک,4,405
51,انزل,2,26
52,انگوت,3,353
53,انگوران,14,372
54,اورامان,20,240
55,اوز,17,361
56,ایرندگان,16,148
57,ایزدخواست,17,220
58,ایلخچی,1,31
59,ایوانکی,15,351
60,ایواوغلی,2,166
61,بابا حیدر,9,287
62,بابل کنار,27,54
63,باجگیران,11,318
64,باروق,2,398
65,بازرگان,2,370
66,بازفت,9,342
67,باشتین,11,173
68,باغ بهادران,4,366
69,باغ حلی,14,244
70,بالا طالقان,5,279
71,بالا ولایت,11,56
72,بام وصفی آباد,12,30
73,بایک,11,114
74,باینگان,22,104
75,بران,3,38
76,بربرود شرقی,26,41
77,بربرود غربی,26,41
78,بردخون,7,190
79,برزک,4,322
80,بروات,21,75
81,بزمان,16,51
82,بزینه رود,14,151
83,بستان,13,178
84,بسطام,15,260
85,بشاریات,18,4
86,بفروییه,31,401
87,بلبان آباد,20,188
88,بلداجی,9,70
89,بلده,27,413
90,بلورد,21,254
91,بم پشت,16,231
92,بمانی,29,256
93,بن رود,4,37
94,بنارویه,17,361
95,بنت,16,420
96,بندپی شرقی,27,54
97,بندپی غربی,27,54
98,بندرامام خمینی,13,83
99,بندزرک,29,403
100,بوژگان,11,113
101,بوستان,23,57
102,بوستان,8,92
103,بوشکان,7,179
104,بومهن,8,105
105,بهاران,24,350
106,بهمیی گرمسیری,23,95
107,بهمن,31,16
108,بهنمیر,27,55
109,بیارجمند,15,260
110,بیرانوند,26,153
111,بیرم,17,361
112,بیستون,22,425
113,بیضا,17,229
114,بیکاه,29,209
115,بیلوار,22,329
116,پایین جام,11,113
117,پاپی,26,153
118,پاتاوه,23,185
119,پادنا,4,247
120,پادنا علیا,4,247
121,پارود,16,233
122,پاریز,21,254
123,پاسارگاد,17,102
124,پره سر,25,206
125,پشتکوه,17,417
126,پلان,16,135
127,پلنگ آباد,5,34
128,پیربکران,4,300
129,پیرسلمان,30,29
130,پیشخور,30,290
131,پیشکمر,24,332
132,پیشین,16,233
133,تازه کند,3,100
134,تالارپی,27,257
135,تخت,29,80
136,تخت سلیمان,2,118
137,ترکمانچای,1,400
138,تسوج,1,263
139,تشان,13,93
140,تلنگ,16,315
141,تنب,29,17
142,تنکمان,5,409
143,توکهور,29,403
144,تولم,25,277
145,تیکمه داش,1,71
146,تیمورآباد,16,424
147,ثمرین,3,20
148,جاپلق,26,27
149,جاجرود,8,105
150,جازموریان,21,211
151,جالق,16,231
152,جایزان,13,43
153,جبالبارز,21,134
154,جبالبارزجنوبی,21,286
155,جرقویه سفلی,4,37
156,جرقویه علیا,4,37
157,جرگلان,12,194
158,جره وبالاده,17,321
159,جزینک,16,222
160,جعفراباد,19,317
161,جغین,29,209
162,جلگه,4,37
163,جلگه چاه هاشم,16,182
164,جلگه رخ,11,114
165,جلگه زوزن,11,164
166,جلگه سنخواست,12,125
167,جلگه شوقان,12,125
168,جلگه ماژان,10,168
169,جلیل آباد,8,109
170,جناح,29,72
171,جنت,17,170
172,جنت آباد,11,275
173,جنگل,11,205
174,جوادآباد,8,422
175,جوقین,8,272
176,جوکار,30,385
177,جولکی,13,12
178,جونقان,9,287
179,جویم,17,361
180,چابکسر,25,212
181,چاپشلو,11,174
182,چاروسا,23,343
183,چاه دادخدا,21,316
184,چاه مبارک,7,284
185,چاه مرید,21,344
186,چاه ورز,17,363
187,چترود,21,328
188,چشمه ساران,24,8
189,چغامیش,13,177
190,چگنی,26,143
191,چلو,13,45
192,چم خلف عیسی,13,430
193,چمستان,27,413
194,چنارشاهیجان,17,321
195,چنارود,4,136
196,چندار,5,226
197,چنگ الماس,20,96
198,چوار,6,52
199,چورزق,14,278
200,چهارباغ,5,226
