id,name,ostan,shahrestan,bakhsh
1,آب انار,6,3,479
2,آب باران,13,12,177
3,آب باریک,22,248,817
4,آب بر,14,278,945
5,آب رییس,16,51,81
6,آب گرم,3,239,991
7,آب نما,29,209,725
8,آباده طشک,17,417,2
9,آبدان,7,190,3
10,آبروان,11,383,274
11,آبرومند,30,91,921
12,آبژدان,13,45,4
13,آبش احمد,1,333,5
14,آبشار,13,258,837
15,آبشور,17,170,432
16,آبعلی,8,184,288
17,آبکش,7,190,78
18,آبگرم,18,15,6
19,آبیدر,20,249,670
20,آجرلوی شرقی,2,398,64
21,آجرلوی غربی,2,398,64
22,آجم,23,343,263
23,آجی چای,1,112,795
24,آختاچی,2,88,613
25,آختاچی شرقی,2,88,366
26,آختاچی غربی,2,391,610
27,آختاچی محالی,2,88,366
28,آدران,5,326,8
29,آذری,12,30,765
30,آذغان,1,47,794
31,آرد,17,349,21
32,آرندان,20,249,670
33,آزادگان,27,355,603
34,آزادگان,21,207,624
35,آزادلو,3,353,1010
36,آزاده,13,196,998
37,آسارا,5,326,8
38,آسپاس,17,39,324
39,آستانه,28,259,785
40,آستانه,11,205,653
41,آسفیج,31,90,9
42,آسمان آباد,6,142,687
43,آسیاب,13,43,842
44,آشار,16,395,11
45,آشکارا,29,145,424
46,آشناخور,28,160,782
47,آغاجاری,13,12,852
48,آغمیون,1,230,796
49,آفتاب,8,122,12
50,آفریز,10,308,325
51,آق آباد,24,359,759
52,آق التین,24,13,761
53,آق بلاغ,14,151,323
54,آق سو,24,332,762
55,آق کهریز,28,227,1041
56,آگاهان,22,248,486
57,آلاداغ,12,64,766
58,آلان,2,238,608
59,آلان برآغوش,1,230,1015
60,آلمالو,1,427,1036
61,آلمه,12,371,349
62,آلیان,25,302,335
63,آواجیق جنوبی,2,138,252
64,آواجیق شمالی,2,138,252
65,آورزمان,30,385,321
66,آویز,17,291,875
67,آهندان,25,364,582
68,آهودشت,13,266,375
69,آیسک,10,232,14
70,ابتر,16,51,657
71,ابراهیم آباد,18,86,268
72,ابرج,17,379,247
73,ابرده,11,99,374
74,ابرشیوه,8,184,732
75,ابرغان,1,230,796
76,ابرو,30,429,918
77,ابریشم,4,300,892
78,ابوالفارس,13,197,15
79,ابوالوردی,17,102,123
80,ابوغویر,6,189,250
81,ابهررود,14,18,940
82,اترک,24,359,243
83,اترک,12,371,561
84,اجارودشرقی,3,353,1010
85,اجارودشمالی,3,353,744
86,اجارودغربی,3,353,744
87,اجارودمرکزی,3,353,744
88,احمد آباد مستوفی,8,33,16
89,احمدآباد,2,118,136
90,احمدآباد,17,39,209
91,احمدآباد,17,304,862
92,احمدآباد,5,409,960
93,احمدی,29,145,18
94,احمدسرگوراب,25,264,19
95,احمدفداله,13,177,393
96,اخترآباد,8,384,402
97,اختیارآباد,21,328,628
98,اخند,7,284,939
99,ادیمی,16,421,909
100,ارجستان,3,239,322
101,اردلان,1,230,1015
102,اردوغش,11,419,300
103,ارزوییه,21,24,883
104,ارزیل,1,423,217
105,ارسک,10,74,24
106,ارسی,1,128,806
107,ارشق شرقی,3,20,740
108,ارشق شمالی,3,382,25
109,ارشق غربی,3,382,568
110,ارشق مرکزی,3,382,25
111,ارکوازی,6,52,198
112,ارم,7,179,26
113,ارمند,9,149,27
114,ارمو,6,176,685
115,ارنان,31,396,713
116,ارودان,17,393,874
117,ازغند,11,390,369
118,ازگله,22,124,29
119,ازنا,26,153,928
120,ازومدل جنوبی,1,423,810
121,ازومدل شمالی,1,423,810
122,اسالم,25,281,30
123,اسبوکلا,27,54,589
124,اسپران,1,112,795
125,استای,11,275,172
126,استبرق,21,269,627
127,استخرپشت,27,411,1060
128,استرآباد,24,285,488
129,استرآبادجنوبی,24,350,756
130,استرآبادشمالی,24,350,105
131,اسحق آباد,11,419,300
132,اسفرجان,4,270,893
133,اسفندار,31,16,107
134,اسفندان,28,334,788
135,اسفندقه,21,134,623
136,اسفندک,16,231,1017
137,اسفیوردشوراب,27,224,593
138,اسکل آباد,16,148,1046
139,اسلام آباد,25,204,352
140,اسلام آباد,21,134,623
141,اسلام آباد,21,218,625
142,اسلام آباد,3,100,32
143,اسلامیه,21,207,624
144,اسماعیل آباد,16,148,659
145,اسماعیل آباد,8,92,102
146,اسماعیلی,21,134,34
147,اسماعیلیه جنوبی,13,48,35
148,اسماعیلیه شمالی,13,48,35
149,اسیر,17,393,36
150,اشترجان,4,300,892
151,اشترینان,26,69,37
152,اشتین,11,56,71
153,اشکنان,17,363,38
154,اشکور,27,195,592
155,اشکور سفلی,25,212,272
156,اشکور علیا و سیارستاق ییلاق,25,212,272
157,اشن,4,406,1016
158,اشنویه جنوبی,2,36,1031
159,اشنویه شمالی,2,36,616
160,اشیان,4,366,896
161,اصلاندوز شرقی,3,38,951
162,اصلاندوز غربی,3,38,951
163,اطاقور,25,368,39
164,افرینه,26,106,1004
165,افزر,17,319,40
166,افشار,2,118,615
167,افشاریه,18,110,226
168,افین,10,223,312
169,اقبال شرقی,18,312,751
170,اقبال غربی,18,312,751
171,اک,18,110,31
172,اکبرآباد,16,433,438
173,الغچین,23,141,984
174,القورات,10,97,771
175,الله اکبر,13,178,835
176,الموت بالا,18,312,278
177,الموت پایین,18,312,278
178,المهدی,2,410,565
179,المهدی,30,385,176
180,الند,2,166,403
181,الوارس,3,239,991
182,الوند,22,314,818
183,الوند,14,155,944
184,الوندکوه شرقی,30,429,918
185,الوندکوه غربی,30,429,918
186,الویر,28,219,224
187,اله آباد,31,434,294
188,الهایی,13,48,829
189,امام,20,242,43
190,امامزاده آقاعلی عباس,4,408,45
191,امامزاده ابوطالب,8,201,737
