id,name,shahr_type,ostan,shahrestan,bakhsh
1,آب بر,0,14,278,945
2,آب پخش,0,7,179,1
3,آباد,0,7,120,697
4,آبادان,0,13,1,827
5,آبادان 1,2,13,1,827
6,آبادان 2,2,13,1,827
7,آبادان 3,2,13,1,827
8,آباده,0,17,2,854
9,آباده طشک,0,17,417,2
10,آبدان,0,7,190,3
11,آبدانان,0,6,3,689
12,آبژدان,0,13,45,4
13,آبسرد,0,8,184,732
14,آبش احمد,0,1,333,5
15,آبعلی,0,8,184,288
16,آبگرم,0,18,15,6
17,آبی بیگلو,0,3,412,1058
18,آبیز,0,10,223,371
19,آبیک,0,18,4,752
20,آجین,0,30,29,129
21,آذرشهر,0,1,5,214
22,آرادان,0,15,6,948
23,آران وبیدگل,0,4,7,902
24,آرمرده,0,20,61,7
25,آرین شهر,0,10,308,325
26,آزادشهر,0,24,8,763
27,آزادی,0,13,46,828
28,آسارا,0,5,326,8
29,آستارا,0,25,9,572
30,آستانه,0,28,259,785
31,آستانه اشرفیه,0,25,10,573
32,آسمان آباد,0,6,142,687
33,آشار,0,16,395,11
34,آشتیان,0,28,11,780
35,آشخانه,0,12,371,770
36,آغاجاری,0,13,12,852
37,آق قلا,0,24,13,761
38,آقکند,0,1,400,460
39,آلاشت,0,27,250,594
40,آلونی,0,9,149,925
41,آمل,0,27,14,588
42,آوا,0,12,371,349
43,آواجیق,0,2,138,252
44,آوج,0,18,15,953
45,آوه,0,28,227,784
46,آیسک,0,10,232,14
47,ابرکوه,0,31,16,716
48,ابریشم,0,4,300,892
49,ابوحمیظه,0,13,178,835
50,ابوزیدآباد,0,4,7,509
51,ابوموسی,0,29,17,719
52,ابهر,0,14,18,940
53,اچاچی,0,1,400,799
54,احمد آباد مستوفی,0,8,33,16
55,احمدآباد,0,31,22,710
56,احمدابادصولت,0,11,113,100
57,احمدسرگوراب,0,25,264,19
58,اختیارآباد,0,21,328,628
59,ادیمی,0,16,421,909
60,اراک,0,28,19,779
61,اراک 1,2,28,19,779
62,اراک 2,2,28,19,779
63,اراک 3,2,28,19,779
64,اراک 4,2,28,19,779
65,اراک 5,2,28,19,779
66,اربطان,0,1,426,238
67,ارجمند,0,8,305,20
68,ارد,0,17,349,21
69,ارداق,0,18,86,251
70,اردبیل,0,3,20,740
71,اردبیل 1,2,3,20,740
72,اردبیل 2,2,3,20,740
73,اردبیل 3,2,3,20,740
74,اردبیل 4,2,3,20,740
75,اردبیل 5,2,3,20,740
76,اردستان,0,4,21,885
77,اردکان,0,17,229,859
78,اردکان,0,31,22,710
79,اردل,0,9,23,681
80,اردیموسی,0,3,239,322
81,ارزوییه,0,21,24,883
82,ارسک,0,10,74,24
83,ارسنجان,0,17,25,870
84,ارطه,0,27,307,595
85,ارکواز,0,6,387,983
86,ارمغانخانه,0,14,221,440
87,ارومیه,0,2,26,604
88,ارومیه  5,2,2,26,604
89,ارومیه 1,2,2,26,604
90,ارومیه 2,2,2,26,604
91,ارومیه 3,2,2,26,604
92,ارومیه 4,2,2,26,604
93,اروندکنار,0,13,1,28
94,ازگله,0,22,124,29
95,ازنا,0,26,27,932
96,ازندریان,0,30,385,176
97,اژیه,0,4,37,162
98,اسالم,0,25,281,30
99,اسپکه,0,16,420,547
100,استهبان,0,17,28,855
