id,name,ostan
1,آبادان,13
2,آباده,17
3,آبدانان,6
4,آبیک,18
5,آذرشهر,1
6,آرادان,15
7,آران وبیدگل,4
8,آزادشهر,24
9,آستارا,25
10,آستانه اشرفیه,25
11,آشتیان,28
12,آغاجاری,13
13,آق قلا,24
14,آمل,27
15,آوج,18
16,ابرکوه,31
17,ابوموسی,29
18,ابهر,14
19,اراک,28
20,اردبیل,3
21,اردستان,4
22,اردکان,31
23,اردل,9
24,ارزوییه,21
25,ارسنجان,17
26,ارومیه,2
27,ازنا,26
28,استهبان,17
29,اسدآباد,30
30,اسفراین,12
31,اسکو,1
32,اسلام آبادغرب,22
33,اسلامشهر,8
34,اشتهارد,5
35,اشکذر,31
36,اشنویه,2
37,اصفهان,4
38,اصلاندوز,3
39,اقلید,17
40,البرز,18
41,الیگودرز,26
42,املش,25
43,امیدیه,13
44,انار,21
45,اندیکا,13
46,اندیمشک,13
47,اهر,1
48,اهواز,13
49,ایجرود,14
50,ایذه,13
51,ایرانشهر,16
52,ایلام,6
53,ایوان,6
54,بابل,27
55,بابلسر,27
56,باخرز,11
57,باشت,23
58,باغ ملک,13
59,بافت,21
60,بافق,31
61,بانه,20
62,باوی,13
63,بجستان,11
64,بجنورد,12
65,بدره,6
66,برخوار,4
67,بردسکن,11
68,بردسیر,21
69,بروجرد,26
70,بروجن,9
71,بستان آباد,1
72,بستک,29
73,بشاگرد,29
74,بشرویه,10
75,بم,21
76,بمپور,16
77,بن,9
78,بناب,1
79,بندرانزلی,25
80,بندرعباس,29
81,بندرگز,24
82,بندرلنگه,29
83,بندرماهشهر,13
84,بو یین و میاندشت,4
85,بوانات,17
86,بویین زهرا,18
87,بوشهر,7
88,بوکان,2
89,بویراحمد,23
90,بهاباد,31
91,بهار,30
92,بهارستان,8
93,بهبهان,13
94,بهشهر,27
95,بهمیی,23
96,بیجار,20
97,بیرجند,10
98,بیله سوار,3
99,بینالود,11
100,پارس آباد,3
101,پارسیان,29
102,پاسارگاد,17
103,پاکدشت,8
104,پاوه,22
105,پردیس,8
106,پلدختر,26
107,پلدشت,2
108,پیرانشهر,2
109,پیشوا,8
110,تاکستان,18
111,تایباد,11
112,تبریز,1
113,تربت جام,11
114,تربت حیدریه,11
115,ترکمن,24
116,تفت,31
117,تفرش,28
118,تکاب,2
119,تنکابن,27
120,تنگستان,7
121,تویسرکان,30
122,تهران,8
123,تیران وکرون,4
124,ثلاث باباجانی,22
125,جاجرم,12
126,جاسک,29
127,جغتای,11
128,جلفا,1
129,جم,7
130,جوانرود,22
131,جویبار,27
132,جوین,11
133,جهرم,17
134,جیرفت,21
135,چابهار,16
136,چادگان,4
137,چاراویماق,1
138,چالدران,2
139,چالوس,27
140,چایپاره,2
141,چرام,23
142,چرداول,6
143,چگنی,26
144,چناران,11
145,حاجی اباد,29
146,حمیدیه,13
147,خاتم,31
148,خاش,16
149,خانمیرزا,9
150,خداآفرین,1
151,خدابنده,14
152,خرامه,17
153,خرم آباد,26
154,خرم بید,17
155,خرمدره,14
156,خرمشهر,13
157,خلخال,3
158,خلیل آباد,11
159,خمیر,29
160,خمین,28
161,خمینی شهر,4
162,خنج,17
163,خنداب,28
164,خواف,11
165,خوانسار,4
166,خوی,2
167,خور و بیابانک,4
168,خوسف,10
169,خوشاب,11
170,داراب,17
171,دالاهو,22
172,دامغان,15
173,داورزن,11
174,درگز,11
175,درمیان,10
176,دره شهر,6
177,دزفول,13
178,دشت آزادگان,13
179,دشتستان,7
180,دشتی,7
181,دلفان,26
182,دلگان,16
183,دلیجان,28
184,دماوند,8
185,دنا,23
186,دورود,26
187,دهاقان,4
188,دهگلان,20
189,دهلران,6
190,دیر,7
191,دیلم,7
192,دیواندره,20
193,رابر,21
194,راز و جرگلان,12
195,رامسر,27
196,رامشیر,13
197,رامهرمز,13
198,رامیان,24
199,راور,21
200,ری,8
201,رباط کریم,8
202,رزن,30
203,رستم,17
204,رشت,25
205,رشتخوار,11
206,رضوانشهر,25
207,رفسنجان,21
208,روانسر,22
209,رودان,29
210,رودبار,25
211,رودبارجنوب,21
212,رودسر,25
213,رومشکان,26
214,ریگان,21
215,زابل,16
216,زاوه,11
217,زاهدان,16
218,زرند,21
219,زرندیه,28
220,زرین دشت,17
221,زنجان,14
222,زهک,16
223,زیرکوه,10
224,ساری,27
225,سامان,9
226,ساوجبلاغ,5
227,ساوه,28
228,سبزوار,11
229,سپیدان,17
230,سراب,1
231,سراوان,16
232,سرایان,10
233,سرباز,16
234,سربیشه,10
235,سرپل ذهاب,22
236,سرخس,11
237,سرخه,15
238,سردشت,2
239,سرعین,3
240,سروآباد,20
241,سروستان,17
242,سقز,20
243,سلسله,26
244,سلطانیه,14
245,سلماس,2
246,سمنان,15
247,سمیرم,4
248,سنقر,22
249,سنندج,20
250,سوادکوه,27
251,سوادکوه شمالی,27
252,سیاهکل,25
253,سیب و سوران,16
254,سیرجان,21
255,سیروان,6
256,سیریک,29
257,سیمرغ,27
258,شادگان,13
259,شازند,28
260,شاهرود,15
261,شاهین دژ,2
262,شاهین شهرومیمه,4
263,شبستر,1
264,شفت,25
265,شمیرانات,8
266,شوش,13
267,شوشتر,13
268,شوط,2
269,شهربابک,21
270,شهرضا,4
271,شهرکرد,9
272,شهریار,8
273,شیراز,17
274,شیروان,12
275,صالح آباد,11
276,صحنه,22
277,صومعه سرا,25
278,طارم,14
279,طالقان,5
280,طبس,10
281,طوالش,25
282,عباس آباد,27
283,عجب شیر,1
284,عسلویه,7
285,علی آباد,24
286,عنبرآباد,21
287,فارسان,9
288,فاروج,12
289,فاریاب,21
290,فامنین,30
291,فراشبند,17
292,فراهان,28
293,فردوس,10
294,فردیس,5
295,فریدن,4
296,فریدونشهر,4
297,فریدونکنار,27
298,فریمان,11
299,فسا,17
300,فلاورجان,4
301,فنوج,16
302,فومن,25
303,فهرج,21
304,فیروزآباد,17
305,فیروزکوه,8
306,فیروزه,11
307,قایم شهر,27
308,قاینات,10
309,قدس,8
310,قرچک,8
311,قروه,20
312,قزوین,18
313,قشم,29
314,قصرشیرین,22
315,قصرقند,16
316,قلعه گنج,21
317,قم,19
318,قوچان,11
319,قیروکارزین,17
320,کارون,13
321,کازرون,17
322,کاشان,4
323,کاشمر,11
324,کامیاران,20
325,کبودرآهنگ,30
326,کرج,5
327,کردکوی,24
328,کرمان,21
329,کرمانشاه,22
330,کلات,11
331,کلاردشت,27
332,کلاله,24
333,کلیبر,1
334,کمیجان,28
335,کنارک,16
336,کنگان,7
337,کنگاور,22
338,کوار,17
339,کوثر,3
340,کوهبنان,21
341,کوهدشت,26
342,کوهرنگ,9
343,کهگیلویه,23
344,کهنوج,21
345,کیار,9
346,گالیکش,24
347,گتوند,13
348,گچساران,23
349,گراش,17
350,گرگان,24
351,گرمسار,15
352,گرمه,12
353,گرمی,3
354,گلپایگان,4
355,گلوگاه,27
356,گمیشان,24
357,گناباد,11
358,گناوه,7
359,گنبدکاووس,24
360,گیلانغرب,22
361,لارستان,17
362,لالی,13
363,لامرد,17
364,لاهیجان,25
365,لردگان,9
366,لنجان,4
367,لنده,23
368,لنگرود,25
369,ماسال,25
370,ماکو,2
371,مانه وسملقان,12
372,ماهنشان,14
373,مبارکه,4
374,محلات,28
375,محمودآباد,27
376,مراغه,1
377,مراوه تپه,24
378,مرند,1
379,مرودشت,17
380,مریوان,20
381,مسجدسلیمان,13
382,مشگین شهر,3
383,مشهد,11
384,ملارد,8
385,ملایر,30
386,ملکان,1
387,ملکشاهی,6
388,ممسنی,17
389,منوجان,21
390,مه ولات,11
391,مهاباد,2
392,مهدی شهر,15
393,مهر,17
394,مهران,6
395,مهرستان,16
396,مهریز,31
397,میامی,15
398,میاندوآب,2
399,میاندورود,27
400,میانه,1
401,میبد,31
402,میرجاوه,16
403,میناب,29
404,مینودشت,24
405,نایین,4
406,نجف آباد,4
407,نرماشیر,21
408,نطنز,4
409,نظرآباد,5
410,نقده,2
411,نکا,27
412,نمین,3
413,نور,27
414,نوشهر,27
415,نهاوند,30
416,نهبندان,10
417,نی ریز,17
418,نیر,3
419,نیشابور,11
420,نیک شهر,16
421,نیمروز,16
422,ورامین,8
423,ورزقان,1
424,هامون,16
425,هرسین,22
426,هریس,1
427,هشترود,1
428,هفتکل,13
429,همدان,30
430,هندیجان,13
431,هوراند,1
432,هویزه,13
433,هیرمند,16
434,یزد,31
