id,name,ostan,shahrestan,amar_code
1,آب پخش,7,185,180306
2,آبدان,7,197,180503
3,آبژدان,13,45,62101
4,آبش احمد,1,343,31503
5,آبگرم,18,15,260602
6,آرمرده,20,62,120101
7,آسارا,5,336,300103
8,آسفیج,31,92,211101
9,آسمینون,21,402,81302
10,آشار,16,408,111302
11,آفتاب,8,126,230103
12,آهوران,16,433,110706
13,آیسک,10,241,290601
14,ابولفارس,13,205,61005
15,احمد آباد مستوفی,8,33,231003
16,احمدآباد,11,396,91601
17,احمدسرگوراب,25,274,11201
18,احمدی,29,149,220803
19,ارجمند,8,315,231401
20,ارد,17,361,72702
21,ارژن,17,283,70706
22,ارس,2,110,41501
23,ارسک,10,76,290802
24,ارشق,3,395,240401
25,ارم,7,185,180304
26,ارمند,9,153,141002
27,اروندکنار,13,1,60101
28,ازگله,22,128,51202
29,اسالم,25,291,10405
30,اسفرورین,18,113,260201
31,اسفندقه,21,138,80306
32,اسلام آباد,3,103,240604
33,اسلامیه,10,303,290703
34,اسماعیلی,21,138,80305
35,اسماعیلیه,13,49,60304
36,اسیر,17,406,72104
37,اشترینان,26,71,150201
38,اشکنان,17,375,71503
39,اطاقور,25,380,11002
40,افزر,17,329,72001
41,افشار,14,155,190301
42,الوارگرمسیری,13,46,60201
43,امام,20,252,120304
44,امام حسن,7,198,180801
45,امام زاده,4,421,101502
46,امامزاده عبدالله,27,14,20104
47,امیراباد,15,177,200101
48,انابد,11,69,92301
49,انار,21,44,82001
50,انارک,4,418,101301
51,انزل,2,26,40101
52,انگوت,3,365,240501
53,انگوران,14,385,190901
54,اورامان,20,250,120901
55,ایرندگان,16,152,110303
56,ایزدخواست,17,229,71901
57,ایلخچی,1,31,32201
58,ایوانکی,15,363,200401
59,ایواوغلی,2,174,40304
60,بابا حیدر,9,297,140303
61,بابل کنار,27,55,20204
62,باجگیران,11,328,91301
63,باروق,2,411,40805
64,بازرگان,2,383,40605
65,بازفت,9,353,140601
66,باشتین,11,178,93902
67,باغ بهادران,4,378,101201
68,باغ حلی,14,254,191002
69,باغ صفا,17,245,73202
70,بالا طالقان,5,289,300402
71,بالا ولایت,11,57,93702
72,بام وصفی آباد,12,30,280101
73,بانش,17,100,73102
74,باهوکلات,16,187,112202
75,بایک,11,117,90501
76,باینگان,22,107,50301
77,بران,3,38,241102
78,بربرود شرقی,26,41,150106
79,بربرود غربی,26,41,150105
80,بردخون,7,197,180501
81,بررود,11,354,94102
82,برزک,4,332,101005
83,بروات,21,77,80207
84,بزمان,16,52,110101
85,بزینه رود,14,155,190302
86,بستان,13,184,60901
87,بسطام,15,270,200301
88,بشاریات,18,4,260401
89,بفروییه,31,414,210603
90,بلبان آباد,20,195,121002
91,بلداجی,9,72,140104
92,بلده,27,426,21401
93,بلورد,21,264,80605
94,بم پشت,16,240,110605
95,بمانی,29,266,221201
96,بن رود,4,37,100205
97,بنارویه,17,373,71107
98,بنت,16,433,110701
99,بندپی شرقی,27,55,20203
100,بندپی غربی,27,55,20201
101,بندرامام خمینی,13,85,60501
102,بندزرک,29,416,220505
103,بوژگان,11,116,90604
104,بوستان,8,94,231902
105,بوستان,23,58,170702
106,بوشکان,7,185,180305
107,بومهن,8,108,232001
108,بهاران,24,362,270503
109,بهمن,31,16,210701
110,بهمن صغاد,17,2,70105
111,بهمیی گرمسیری,23,97,170501
112,بهنمیر,27,56,21603
113,بیارجمند,15,270,200302
114,بیدشهر,17,47,73602
115,بیرانوند,26,157,150303
116,بیرم,17,373,71105
117,بیستون,22,438,51101
118,بیکاه,29,216,220704
119,بیلوار,22,339,50208
120,پاپی,26,157,150302
121,پاتاوه,23,192,170401
122,پادنا,4,257,100501
123,پادنا علیا,4,257,100503
124,پارود,16,202,110805
125,پاریز,21,264,80602
126,پاسارگاد,17,105,72302
127,پایین جام,11,116,90605
128,پره سر,25,213,11401
129,پشتکوه,16,152,110304
130,پشتکوه,17,430,71402
131,پلان,16,143,110204
132,پلنگ آباد,5,34,300502
133,پیربکران,4,310,100801
134,پیرسلمان,30,29,130602
135,پیشخور,30,300,130902
136,پیشکمر,24,342,270903
137,پیشین,16,202,110801
138,تازه کند,3,103,240603
139,تالارپی,27,267,22602
140,تخت,29,82,220205
141,تخت سلیمان,2,122,41202
142,ترکمانچای,1,413,31001
143,تسوج,1,273,31403
144,تشان,13,95,60604
145,تلنگ,16,325,111803
146,تنب,29,17,220101
147,تنکمان,5,422,300302
148,توکهور,29,416,220504
149,تولم,25,287,10801
150,تیکمه داش,1,73,31301
151,تیمورآباد,16,437,111602
152,ثمرین,3,20,240106
153,جاپلق,26,27,150701
154,جاجرود,8,108,232002
155,جازموریان,21,218,81501
156,جالق,16,240,110601
157,جایزان,13,43,61601
158,جبالبارز,21,138,80302
159,جبالبارزجنوبی,21,296,81203
160,جرقویه سفلی,4,37,100201
161,جرقویه علیا,4,37,100204
162,جرگلان,12,201,280803
163,جره وبالاده,17,331,71001
164,جزمان,6,442,161102
165,جزینک,16,231,111001
166,جعفراباد,19,327,250101
167,جغین,29,216,220703
168,جلگه,4,37,100206
169,جلگه چاه هاشم,16,189,111202
170,جلگه رخ,11,117,90507
171,جلگه زوزن,11,169,91903
