id,name,ostan,shahrestan,bakhsh,amar_code
1,آب انار,6,3,489,1606010003
2,آب باران,13,12,184,626020002
3,آب باریک,22,258,908,505010001
4,آب بر,14,288,785,1908020001
5,آب رییس,16,52,84,1101010001
6,آب گرم,3,249,589,2410010001
7,آب نما,29,216,998,2207020001
8,آبادان,16,52,252,1101060002
9,آباده طشک,17,66,822,735010001
10,آبدان,7,197,2,1805030001
11,آبروان,11,396,284,916060001
12,آبرومند,30,93,1003,1307020004
13,آبژدان,13,45,3,621010001
14,آبش احمد,1,343,4,315030001
15,آبشار,13,268,769,611010001
16,آبشور,17,175,444,705040001
17,آبعلی,8,191,298,2302030001
18,آبکش,7,197,80,1805010003
19,آبگرم,18,15,5,2606020001
20,آبیدر,20,259,866,1204030001
21,آجرلوی شرقی,2,411,63,408050002
22,آجرلوی غربی,2,411,63,408050003
23,آجم,23,355,271,1702060003
24,آجی چای,1,115,640,303030001
25,آختاچی,2,89,658,410020001
26,آختاچی شرقی,2,89,375,410010001
27,آختاچی غربی,2,404,670,407020001
28,آختاچی محالی,2,89,375,410010002
29,آدران,5,336,7,3001030001
30,آذری,12,30,744,2801020001
31,آذغان,1,48,637,302020001
32,آرد,17,361,20,727020001
33,آرندان,20,259,866,1204030002
34,آزادگان,21,214,877,804020001
35,آزادگان,27,367,971,222020002
36,آزادلو,3,365,1036,2405050002
37,آزاده,13,204,1024,619020001
38,آسارا,5,336,7,3001030002
39,آسپاس,17,39,335,703010001
40,آستانه,11,212,729,927020001
41,آستانه,28,269,985,7010001
42,آسفیج,31,92,8,2111010001
43,آسمان آباد,6,146,629,1604020001
44,آسیاب,13,43,752,616020001
45,آشار,16,408,10,1113020001
46,آشکارا,29,149,434,2208010003
47,آشناخور,28,165,980,4010001
48,آغاجاری,13,12,758,626010001
49,آغمیون,1,239,644,305010002
50,آفتاب,8,126,11,2301030001
51,آفریز,10,318,334,2904050001
52,آق آباد,24,371,926,2706040001
53,آق التین,24,13,916,2708020001
54,آق بلاغ,14,155,333,1903040001
55,آق سو,24,342,922,2709020001
56,آق کهریز,28,236,1070,6040001
57,آگاهان,22,258,496,505020001
58,آلاداغ,12,65,745,2802040001
59,آلان,2,248,665,404010001
60,آلان برآغوش,1,239,1041,305020002
61,آلمالو,1,440,1065,311030001
62,آلمه,12,384,357,2806010001
63,آلیان,25,312,343,109030001
64,آواجیق جنوبی,2,141,260,414010002
65,آواجیق شمالی,2,141,260,414010001
66,آورزمان,30,398,331,1302020001
67,آویز,17,301,839,722010001
68,آهندان,25,376,942,111020001
69,آهودشت,13,276,384,614010001
70,آیسک,10,241,13,2906010001
71,ابارق,21,77,266,802080001
72,ابتر,16,52,794,1101050001
73,ابراهیم آباد,18,91,276,2601020001
74,ابرج,17,392,255,712050001
75,ابرده,11,102,383,932020002
76,ابرشیوه,8,191,687,2302020001
77,ابرغان,1,239,644,305010001
78,ابرو,30,443,1011,1304070001
