id,name,shahr_type,ostan,shahrestan,bakhsh,amar_code
1,آب بر,0,14,288,785,1908022262
2,آب پخش,0,7,185,1,1803062308
3,آباد,0,7,124,674,1802022816
4,آبادان,0,13,1,757,601021270
5,آبادان 1,2,13,1,757,601021687
6,آبادان 2,2,13,1,757,601021688
7,آبادان 3,2,13,1,757,601022855
8,آباده,0,17,2,821,701041296
9,آباده طشک,0,17,66,822,735012199
10,آبدان,0,7,197,2,1805032484
11,آبدانان,0,6,3,627,1606021501
12,آبژدان,0,13,45,3,621012799
13,آبسرد,0,8,191,687,2302022269
14,آبش احمد,0,1,343,4,315032545
15,آبعلی,0,8,191,298,2302032629
16,آبگرم,0,18,15,5,2606022517
17,آبی بیگلو,0,3,425,1087,2408012493
18,آبیز,0,10,232,380,2909032898
19,آبیک,0,18,4,854,2604021535
20,آجین,0,30,29,134,1306022758
21,آذرشهر,0,1,5,222,321031201
22,آرادان,0,15,6,787,2006011549
23,آراللو,0,3,20,1095,2401042949
24,آران وبیدگل,0,4,7,597,1018021423
25,آرمرده,0,20,62,6,1201012457
26,آرین شهر,0,10,318,334,2904052645
27,آزادشهر,0,24,8,915,2710021182
28,آزادی,0,13,46,754,602022801
29,آسارا,0,5,336,7,3001032070
30,آستارا,0,25,9,930,101011117
31,آستانه,0,28,269,985,7011112
32,آستانه اشرفیه,0,25,10,931,102021119
33,آسمان آباد,0,6,146,629,1604022617
34,آشار,0,16,408,10,1113022893
35,آشتیان,0,28,11,978,2011103
36,آشخانه,0,12,384,751,2806031352
37,آغاجاری,0,13,12,758,626011278
38,آق قلا,0,24,13,916,2708021180
39,آقکند,0,1,413,471,310022401
40,آلاشت,0,27,260,964,208021170
41,آلونی,0,9,153,699,1410012473
42,آمل,0,27,14,955,201021149
43,آوا,0,12,384,357,2806012848
44,آواجیق,0,2,141,260,414012549
45,آوج,0,18,15,855,2606011536
46,آوه,0,28,236,984,6032827
47,آیسک,0,10,241,13,2906012346
48,ابرکوه,0,31,16,1012,2107021293
49,ابریشم,0,4,310,611,1008022252
50,ابوحمیظه,0,13,184,766,609022796
51,ابوزیدآباد,0,4,7,518,1018012279
52,ابوموسی,0,29,17,989,2201021563
53,ابهر,0,14,18,779,1901031528
54,اچاچی,0,1,413,651,310042842
55,احمد آباد مستوفی,0,8,33,15,2310032770
56,احمدآباد,0,31,22,1013,2101022265
57,احمدابادصولت,0,11,116,103,906042067
58,احمدسرگوراب,0,25,274,17,112012387
59,اختیارآباد,0,21,338,887,808052428
60,ادیمی,0,16,434,814,1115012353
61,اراک,0,28,19,977,1021101
62,اراک 1,2,28,19,977,1021678
63,اراک 2,2,28,19,977,1021679
64,اراک 3,2,28,19,977,1021680
65,اراک 4,2,28,19,977,1022858
66,اراک 5,2,28,19,977,1022859
67,اربطان,0,1,439,245,316012935
68,ارجمند,0,8,315,19,2314012634
69,ارد,0,17,361,20,727022903
70,ارداق,0,18,91,259,2601062577
71,اردبیل,0,3,20,584,2401011195
72,اردبیل 1,2,3,20,584,2401011662
73,اردبیل 2,2,3,20,584,2401011663
74,اردبیل 3,2,3,20,584,2401012575
75,اردبیل 4,2,3,20,584,2401012852
76,اردبیل 5,2,3,20,584,2401012873
77,اردستان,0,4,21,595,1001011395
78,اردکان,0,17,238,835,706021304
79,اردکان,0,31,22,1013,2101021551
80,اردل,0,9,23,696,1405011476
81,اردیموسی,0,3,249,332,2410022881
82,ارزوییه,0,21,24,870,823012315
83,ارسک,0,10,76,23,2908022726
84,ارسنجان,0,17,25,817,717011321
85,ارطه,0,27,317,969,210022747
86,ارکواز,0,6,400,633,1608011508
87,ارمغانخانه,0,14,230,451,1904062038
88,ارومیه,0,2,26,656,401041235
89,ارومیه  5,2,2,26,656,401042853
90,ارومیه 1,2,2,26,656,401042528
91,ارومیه 2,2,2,26,656,401042529
92,ارومیه 3,2,2,26,656,401042530
93,ارومیه 4,2,2,26,656,401042531
94,اروندکنار,0,13,1,27,601011269
95,ازگله,0,22,128,28,512022593
96,ازنا,0,26,27,945,1507021488
97,ازندریان,0,30,398,183,1302012253
98,اژیه,0,4,37,168,1002062248
99,اسالم,0,25,291,29,104052382
100,اسپکه,0,16,433,560,1107042506
101,استهبان,0,17,28,818,702021298
102,اسدآباد,0,30,29,1002,1306011469
103,اسدیه,0,10,181,709,2902032276
104,اسفدن,0,10,318,713,2904022643
105,اسفراین,0,12,30,744,2801021349
106,اسفرورین,0,18,113,30,2602012114
107,اسکو,0,1,31,636,322021204
108,اسلام آبادغرب,0,22,32,901,501031256
109,اسلام اباد,0,3,103,32,2406042750
110,اسلام شهر آق گل,0,30,398,1009,1302032871
111,اسلام شهر1,2,8,33,683,2310022289
